Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;21;;;0;45.96;29.13;-145.28;5.590652914;4;5.590652914;15.09058484;45.96;29.13;145.28
2;21;;;0;46.76;34.5;-139.61;7.850210188;5;7.850210188;22.94079503;46.76;34.5;139.61
2;21;;;0;49.53;40.32;-131.76;10.15715511;6;10.15715511;33.09795015;49.53;40.32;131.76
2;21;;;0;51.51;47.96;-124.33;10.83950645;7;10.83950645;43.93745659;51.51;47.96;124.33
2;21;;;0;53.53;51.88;-119.19;6.772473699;8;6.772473699;50.70993029;53.53;51.88;119.19
2;21;G;0;0;55.86;60;-113.06;10.43744222;9;10.43744222;61.14737251;55.86;60;113.06
2;22;;;2;48.95;13.13;-151.33;60.90269206;0;0;0;48.95;13.13;151.33
2;22;;;2;48.86;13.56;-150.95;0.580861429;1;0.580861429;0.580861429;48.86;13.56;150.95
2;22;;;2;48.52;14.52;-150.97;1.018626526;2;1.018626526;1.599487956;48.52;14.52;150.97
2;22;;;2;48.72;18.54;-151.17;4.029937965;3;4.029937965;5.62942592;48.72;18.54;151.17
2;22;;;2;47.21;27.97;-151.5;9.555830681;4;9.555830681;15.1852566;47.21;27.97;151.5
2;22;;;2;48.12;41.81;-151.46;13.86994232;5;13.86994232;29.05519892;48.12;41.81;151.46
2;22;;;2;49.57;57.91;-151.32;16.16576939;6;16.16576939;45.22096831;49.57;57.91;151.32
2;22;;;2;48.69;70.63;-146.8;13.52786753;7;13.52786753;58.74883585;48.69;70.63;146.8
2;22;2;2;2;51.99;86.66;-140.96;17.37689558;8;17.37689558;76.12573143;51.99;86.66;140.96
2;23;;;1;57.39;12.86;-156.45;75.60119113;0;0;0;57.39;12.86;156.45
2;23;;;1;57.15;13.05;-156.76;0.435660418;1;0.435660418;0.435660418;57.15;13.05;156.76
2;23;;;1;57.21;14.09;-157.65;1.370145978;2;1.370145978;1.805806396;57.21;14.09;157.65
2;23;;;1;57.82;15.99;-158.87;2.338910003;3;2.338910003;4.144716398;57.82;15.99;158.87
2;23;;;1;59.75;19.95;-160.86;4.833901116;4;4.833901116;8.978617514;59.75;19.95;160.86
2;23;;;1;63.37;25.14;-161.88;6.409438353;5;6.409438353;15.38805587;63.37;25.14;161.88
2;23;;;1;68.68;31.67;-161.91;8.416525411;6;8.416525411;23.80458128;68.68;31.67;161.91
2;23;;;1;75.66;39.05;-160.22;10.29761623;7;10.29761623;34.10219751;75.66;39.05;160.22
2;23;;;1;82.08;49.2;-153.75;13.64184005;8;13.64184005;47.74403756;82.08;49.2;153.75
2;23;;;1;92.86;56.23;-148.07;14.06739848;9;14.06739848;61.81143604;92.86;56.23;148.07
2;23;;;1;99.4;60.9;-145.22;8.526605421;10;8.526605421;70.33804146;99.4;60.9;145.22
2;23;;;1;111.46;62.63;-140.16;13.19242586;11;13.19242586;83.53046732;111.46;62.63;140.16
2;23;;;1;125.88;67.94;-136.07;15.90159112;12;15.90159112;99.43205843;125.88;67.94;136.07
2;23;1;1;1;137.19;72.66;-130.25;13.56712571;13;13.56712571;112.9991841;137.19;72.66;130.25
2;24;;;1;61.31;12.06;-157.05;100.7391404;0;0;0;61.31;12.06;157.05
2;24;;;1;61.98;11.76;-157.73;1.000649789;1;1.000649789;1.000649789;61.98;11.76;157.73
2;24;;;1;62.7;11.42;-158.13;0.891066776;2;0.891066776;1.891716565;62.7;11.42;158.13
2;24;;;1;64.84;11.12;-159.62;2.624823804;3;2.624823804;4.516540369;64.84;11.12;159.62
2;24;;;1;69.39;10.02;-162.41;5.449458689;4;5.449458689;9.965999058;69.39;10.02;162.41
2;24;;;1;76.19;8.92;-167.26;8.42451779;5;8.42451779;18.39051685;76.19;8.92;167.26
2;24;;;1;84.92;7.7;-173.36;10.71966884;6;10.71966884;29.11018569;84.92;7.7;173.36
2;24;;;1;91.7;7.05;-178.6;8.593514997;7;8.593514997;37.70370068;91.7;7.05;178.6
2;24;;;1;103.91;7.53;-185.41;13.98894564;8;13.98894564;51.69264632;103.91;7.53;185.41
2;24;;;1;115.09;9.16;-190.96;12.5877639;9;12.5877639;64.28041022;115.09;9.16;190.96
